timestamp,I,V
22:10:19:58:212,1.080095E-06,-0.599886
22:10:19:58:215,9.33095E-07,-0.59791
22:10:19:58:229,8.59596E-07,-0.595934
22:10:19:58:231,8.30896E-07,-0.593959
22:10:19:58:244,8.14096E-07,-0.591983
22:10:19:58:260,8.01496E-07,-0.590007
22:10:19:58:264,7.86096E-07,-0.588031
22:10:19:58:277,7.81896E-07,-0.586055
22:10:19:58:292,7.74196E-07,-0.584079
22:10:19:58:294,7.76996E-07,-0.582103
22:10:19:58:309,7.70696E-07,-0.580127
22:10:19:58:311,7.65796E-07,-0.578151
22:10:19:58:325,7.58796E-07,-0.576175
22:10:19:58:341,7.63696E-07,-0.574199
22:10:19:58:343,7.55996E-07,-0.572223
22:10:19:58:357,7.48296E-07,-0.570248
22:10:19:58:372,7.60896E-07,-0.568272
22:10:19:58:375,7.51796E-07,-0.566296
22:10:19:58:389,7.53896E-07,-0.56432
22:10:19:58:392,7.47596E-07,-0.562344
22:10:19:58:406,7.43396E-07,-0.560368
22:10:19:58:421,7.39196E-07,-0.558392
22:10:19:58:424,7.48996E-07,-0.556416
22:10:19:58:438,7.44796E-07,-0.55444
22:10:19:58:439,7.41296E-07,-0.552464
22:10:19:58:454,7.38496E-07,-0.550488
22:10:19:58:469,7.38496E-07,-0.548513
22:10:19:58:472,7.41296E-07,-0.546537
22:10:19:58:484,7.37096E-07,-0.544561
22:10:19:58:500,7.27296E-07,-0.542585
22:10:19:58:503,7.34996E-07,-0.540609
22:10:19:58:517,7.37096E-07,-0.538633
22:10:19:58:518,7.39196E-07,-0.536657
22:10:19:58:533,7.37796E-07,-0.534681
22:10:19:58:549,7.32196E-07,-0.532705
22:10:19:58:550,7.32896E-07,-0.530729
22:10:19:58:565,7.29396E-07,-0.528753
22:10:19:58:581,7.32196E-07,-0.526778
22:10:19:58:584,7.29396E-07,-0.524802
22:10:19:58:596,7.27296E-07,-0.522826
22:10:19:58:598,7.27296E-07,-0.52085
22:10:19:58:613,7.18196E-07,-0.518874
22:10:19:58:629,7.26596E-07,-0.516898
22:10:19:58:632,7.22396E-07,-0.514922
22:10:19:58:645,7.24496E-07,-0.512946
22:10:19:58:661,7.20996E-07,-0.51097
22:10:19:58:671,7.18196E-07,-0.508994
22:10:19:58:677,7.20296E-07,-0.507018
22:10:19:58:679,7.21696E-07,-0.505042
22:10:19:58:693,7.14696E-07,-0.503067
22:10:19:58:709,7.18196E-07,-0.501091
22:10:19:58:712,7.16796E-07,-0.499115
22:10:19:58:725,7.21696E-07,-0.497139
22:10:19:58:741,7.13996E-07,-0.495163
22:10:19:58:744,7.24496E-07,-0.493187
22:10:19:58:758,7.13996E-07,-0.491211
22:10:19:58:759,7.16096E-07,-0.489235
22:10:19:58:773,7.10496E-07,-0.487259
22:10:19:58:790,7.09096E-07,-0.485283
22:10:19:58:791,7.11196E-07,-0.483307
22:10:19:58:806,7.14696E-07,-0.481332
22:10:19:58:821,7.11196E-07,-0.479356
22:10:19:58:823,7.17496E-07,-0.47738
22:10:19:58:837,7.17496E-07,-0.475404
